target_date,origin_date,actual,point
2024-08-27,2024-08-26,967.5,959.75
2024-08-28,2024-08-27,958.5,967.5
2024-08-29,2024-08-28,973.75,958.5
2024-08-30,2024-08-29,982.0,973.75
2024-09-03,2024-08-30,997.0,982.0
2024-09-04,2024-09-03,1006.0,997.0
2024-09-05,2024-09-04,1008.25,1006.0
2024-09-06,2024-09-05,989.25,1008.25
2024-09-09,2024-09-06,1000.0,989.25
2024-09-10,2024-09-09,977.5,1000.0
2024-09-11,2024-09-10,979.75,977.5
2024-09-12,2024-09-11,991.5,979.75
2024-09-13,2024-09-12,986.75,991.5
2024-09-16,2024-09-13,1004.5,986.75
2024-09-17,2024-09-16,1006.0,1004.5
2024-09-18,2024-09-17,1014.0,1006.0
2024-09-19,2024-09-18,1013.25,1014.0
2024-09-20,2024-09-19,1012.0,1013.25
2024-09-23,2024-09-20,1039.25,1012.0
2024-09-24,2024-09-23,1042.25,1039.25
2024-09-25,2024-09-24,1053.25,1042.25
2024-09-26,2024-09-25,1041.0,1053.25
2024-09-27,2024-09-26,1065.75,1041.0
2024-09-30,2024-09-27,1057.0,1065.75
2024-10-01,2024-09-30,1057.25,1057.0
2024-10-02,2024-10-01,1056.0,1057.25
2024-10-03,2024-10-02,1046.0,1056.0
2024-10-04,2024-10-03,1037.75,1046.0
2024-10-07,2024-10-04,1034.0,1037.75
2024-10-08,2024-10-07,1016.25,1034.0
2024-10-09,2024-10-08,1020.25,1016.25
2024-10-10,2024-10-09,1014.75,1020.25
2024-10-11,2024-10-10,1005.5,1014.75
2024-10-14,2024-10-11,996.0,1005.5
2024-10-15,2024-10-14,991.0,996.0
2024-10-16,2024-10-15,980.0,991.0
2024-10-17,2024-10-16,988.75,980.0
2024-10-18,2024-10-17,970.0,988.75
2024-10-21,2024-10-18,981.0,970.0
2024-10-22,2024-10-21,991.75,981.0
2024-10-23,2024-10-22,997.5,991.75
2024-10-24,2024-10-23,996.25,997.5
2024-10-25,2024-10-24,987.75,996.25
2024-10-28,2024-10-25,974.0,987.75
2024-10-29,2024-10-28,965.25,974.0
2024-10-30,2024-10-29,976.5,965.25
2024-10-31,2024-10-30,982.5,976.5
2024-11-01,2024-10-31,982.5,982.5
2024-11-04,2024-11-01,987.25,982.5
2024-11-05,2024-11-04,993.75,987.25
2024-11-06,2024-11-05,994.5,993.75
2024-11-07,2024-11-06,1015.5,994.5
2024-11-08,2024-11-07,1016.75,1015.5
2024-11-11,2024-11-08,1011.75,1016.75
2024-11-12,2024-11-11,1003.5,1011.75
2024-11-13,2024-11-12,1004.25,1003.5
2024-11-14,2024-11-13,985.75,1004.25
2024-11-15,2024-11-14,998.5,985.75
2024-11-18,2024-11-15,1009.75,998.5
2024-11-19,2024-11-18,998.5,1009.75
2024-11-20,2024-11-19,990.5,998.5
2024-11-21,2024-11-20,977.75,990.5
2024-11-22,2024-11-21,983.5,977.75
2024-11-25,2024-11-22,985.75,983.5
2024-11-26,2024-11-25,983.5,985.75
2024-11-27,2024-11-26,988.75,983.5
2024-11-29,2024-11-27,989.5,988.75
2024-12-02,2024-11-29,985.25,989.5
2024-12-03,2024-12-02,991.75,985.25
2024-12-04,2024-12-03,983.75,991.75
2024-12-05,2024-12-04,993.75,983.75
2024-12-06,2024-12-05,993.75,993.75
2024-12-09,2024-12-06,990.0,993.75
2024-12-10,2024-12-09,994.75,990.0
2024-12-11,2024-12-10,995.5,994.75
2024-12-12,2024-12-11,995.75,995.5
2024-12-13,2024-12-12,988.25,995.75
2024-12-16,2024-12-13,982.0,988.25
2024-12-17,2024-12-16,976.75,982.0
2024-12-18,2024-12-17,951.75,976.75
2024-12-19,2024-12-18,963.0,951.75
2024-12-20,2024-12-19,974.5,963.0
2024-12-23,2024-12-20,969.5,974.5
2024-12-24,2024-12-23,975.25,969.5
2024-12-26,2024-12-24,988.0,975.25
2024-12-27,2024-12-26,980.0,988.0
2024-12-30,2024-12-27,982.0,980.0
2024-12-31,2024-12-30,998.25,982.0
2025-01-02,2024-12-31,999.5,998.25
2025-01-03,2025-01-02,981.0,999.5
2025-01-06,2025-01-03,992.5,981.0
2025-01-07,2025-01-06,992.25,992.5
2025-01-08,2025-01-07,987.5,992.25
2025-01-09,2025-01-08,992.25,987.5
2025-01-10,2025-01-09,1013.5,992.25
2025-01-13,2025-01-10,1041.5,1013.5
2025-01-14,2025-01-13,1043.0,1041.5
2025-01-15,2025-01-14,1042.75,1043.0
2025-01-16,2025-01-15,1019.0,1042.75
2025-01-17,2025-01-16,1034.0,1019.0
2025-01-21,2025-01-17,1067.25,1034.0
2025-01-22,2025-01-21,1056.0,1067.25
2025-01-23,2025-01-22,1065.5,1056.0
2025-01-24,2025-01-23,1055.75,1065.5
2025-01-27,2025-01-24,1045.0,1055.75
2025-01-28,2025-01-27,1045.0,1045.0
2025-01-29,2025-01-28,1060.5,1045.0
2025-01-30,2025-01-29,1044.0,1060.5
2025-01-31,2025-01-30,1042.0,1044.0
2025-02-03,2025-01-31,1058.25,1042.0
2025-02-04,2025-02-03,1075.0,1058.25
2025-02-05,2025-02-04,1057.0,1075.0
2025-02-06,2025-02-05,1060.5,1057.0
2025-02-07,2025-02-06,1049.5,1060.5
2025-02-10,2025-02-07,1049.5,1049.5
2025-02-11,2025-02-10,1043.5,1049.5
2025-02-12,2025-02-11,1027.75,1043.5
2025-02-13,2025-02-12,1030.0,1027.75
2025-02-14,2025-02-13,1036.0,1030.0
2025-02-18,2025-02-14,1038.5,1036.0
2025-02-19,2025-02-18,1031.75,1038.5
2025-02-20,2025-02-19,1045.5,1031.75
2025-02-21,2025-02-20,1039.5,1045.5
2025-02-24,2025-02-21,1029.0,1039.5
2025-02-25,2025-02-24,1031.25,1029.0
2025-02-26,2025-02-25,1024.5,1031.25
2025-02-27,2025-02-26,1022.75,1024.5
2025-02-28,2025-02-27,1011.5,1022.75
2025-03-03,2025-02-28,998.25,1011.5
2025-03-04,2025-03-03,984.0,998.25
2025-03-05,2025-03-04,997.75,984.0
2025-03-06,2025-03-05,1014.0,997.75
2025-03-07,2025-03-06,1010.25,1014.0
2025-03-10,2025-03-07,999.75,1010.25
2025-03-11,2025-03-10,997.75,999.75
2025-03-12,2025-03-11,987.5,997.75
2025-03-13,2025-03-12,996.75,987.5
2025-03-14,2025-03-13,999.25,996.75
2025-03-17,2025-03-14,1015.5,999.25
2025-03-18,2025-03-17,1012.75,1015.5
2025-03-19,2025-03-18,1008.25,1012.75
2025-03-20,2025-03-19,1013.0,1008.25
2025-03-21,2025-03-20,1009.75,1013.0
2025-03-24,2025-03-21,1007.25,1009.75
2025-03-25,2025-03-24,1001.75,1007.25
2025-03-26,2025-03-25,1001.0,1001.75
2025-03-27,2025-03-26,1016.75,1001.0
2025-03-28,2025-03-27,1023.0,1016.75
2025-03-31,2025-03-28,1014.75,1023.0
2025-04-01,2025-03-31,1034.25,1014.75
2025-04-02,2025-04-01,1029.5,1034.25
2025-04-03,2025-04-02,1011.5,1029.5
2025-04-04,2025-04-03,977.0,1011.5
2025-04-07,2025-04-04,983.0,977.0
2025-04-08,2025-04-07,992.75,983.0
2025-04-09,2025-04-08,1012.75,992.75
2025-04-10,2025-04-09,1029.0,1012.75
2025-04-11,2025-04-10,1042.75,1029.0
2025-04-14,2025-04-11,1041.75,1042.75
2025-04-15,2025-04-14,1036.0,1041.75
2025-04-16,2025-04-15,1038.75,1036.0
2025-04-17,2025-04-16,1036.5,1038.75
2025-04-21,2025-04-17,1029.5,1036.5
2025-04-22,2025-04-21,1035.0,1029.5
2025-04-23,2025-04-22,1040.25,1035.0
2025-04-24,2025-04-23,1053.0,1040.25
2025-04-25,2025-04-24,1049.75,1053.0
2025-04-28,2025-04-25,1052.0,1049.75
2025-04-29,2025-04-28,1041.0,1052.0
2025-04-30,2025-04-29,1034.75,1041.0
2025-05-01,2025-04-30,1040.25,1034.75
2025-05-02,2025-05-01,1048.75,1040.25
2025-05-05,2025-05-02,1038.0,1048.75
2025-05-06,2025-05-05,1034.75,1038.0
2025-05-07,2025-05-06,1030.5,1034.75
2025-05-08,2025-05-07,1036.75,1030.5
2025-05-09,2025-05-08,1044.0,1036.75
2025-05-12,2025-05-09,1066.0,1044.0
2025-05-13,2025-05-12,1067.25,1066.0
2025-05-14,2025-05-13,1067.0,1067.25
2025-05-15,2025-05-14,1051.25,1067.0
2025-05-16,2025-05-15,1050.0,1051.25
2025-05-19,2025-05-16,1050.75,1050.0
2025-05-20,2025-05-19,1053.0,1050.75
2025-05-21,2025-05-20,1062.75,1053.0
2025-05-22,2025-05-21,1067.5,1062.75
2025-05-23,2025-05-22,1060.25,1067.5
2025-05-27,2025-05-23,1062.5,1060.25
2025-05-28,2025-05-27,1048.5,1062.5
2025-05-29,2025-05-28,1051.75,1048.5
2025-05-30,2025-05-29,1041.75,1051.75
2025-06-02,2025-05-30,1033.5,1041.75
2025-06-03,2025-06-02,1040.75,1033.5
2025-06-04,2025-06-03,1045.0,1040.75
2025-06-05,2025-06-04,1051.75,1045.0
2025-06-06,2025-06-05,1057.25,1051.75
2025-06-09,2025-06-06,1056.0,1057.25
2025-06-10,2025-06-09,1057.75,1056.0
2025-06-11,2025-06-10,1050.5,1057.75
2025-06-12,2025-06-11,1042.25,1050.5
2025-06-13,2025-06-12,1069.75,1042.25
2025-06-16,2025-06-13,1069.75,1069.75
2025-06-17,2025-06-16,1074.0,1069.75
2025-06-18,2025-06-17,1074.75,1074.0
2025-06-20,2025-06-18,1068.0,1074.75
2025-06-23,2025-06-20,1058.75,1068.0
2025-06-24,2025-06-23,1046.75,1058.75
2025-06-25,2025-06-24,1025.25,1046.75
2025-06-26,2025-06-25,1022.75,1025.25
2025-06-27,2025-06-26,1027.75,1022.75
2025-06-30,2025-06-27,1024.25,1027.75
2025-07-01,2025-06-30,1024.75,1024.25
2025-07-02,2025-07-01,1050.5,1024.75
2025-07-03,2025-07-02,1056.25,1050.5
2025-07-07,2025-07-03,1031.75,1056.25
2025-07-08,2025-07-07,1024.25,1031.75
2025-07-09,2025-07-08,1012.25,1024.25
2025-07-10,2025-07-09,1012.5,1012.25
2025-07-11,2025-07-10,1004.0,1012.5
2025-07-14,2025-07-11,997.0,1004.0
2025-07-15,2025-07-14,995.0,997.0
2025-07-16,2025-07-15,1013.5,995.0
2025-07-17,2025-07-16,1021.5,1013.5
2025-07-18,2025-07-17,1027.75,1021.5
2025-07-21,2025-07-18,1015.0,1027.75
2025-07-22,2025-07-21,1010.25,1015.0
2025-07-23,2025-07-22,1005.75,1010.25
2025-07-24,2025-07-23,1004.25,1005.75
2025-07-25,2025-07-24,998.75,1004.25
2025-07-28,2025-07-25,988.75,998.75
2025-07-29,2025-07-28,981.75,988.75
2025-07-30,2025-07-29,967.75,981.75
2025-07-31,2025-07-30,961.75,967.75
2025-08-01,2025-07-31,961.75,961.75
2025-08-04,2025-08-01,969.0,961.75
2025-08-05,2025-08-04,969.0,969.0
2025-08-06,2025-08-05,961.5,969.0
2025-08-07,2025-08-06,971.75,961.5
2025-08-08,2025-08-07,966.75,971.75
2025-08-11,2025-08-08,989.5,966.75
2025-08-12,2025-08-11,1011.75,989.5
2025-08-13,2025-08-12,1023.5,1011.75
2025-08-14,2025-08-13,1008.5,1023.5
2025-08-15,2025-08-14,1022.25,1008.5
2025-08-18,2025-08-15,1020.75,1022.25
2025-08-19,2025-08-18,1013.0,1020.75
2025-08-20,2025-08-19,1015.0,1013.0
2025-08-21,2025-08-20,1034.5,1015.0
2025-08-22,2025-08-21,1036.5,1034.5
2025-08-25,2025-08-22,1025.5,1036.5
2025-08-26,2025-08-25,1028.75,1025.5
2025-08-27,2025-08-26,1027.25,1028.75
2025-08-28,2025-08-27,1028.25,1027.25
2025-08-29,2025-08-28,1036.75,1028.25
2025-09-02,2025-08-29,1025.75,1036.75
2025-09-03,2025-09-02,1016.0,1025.75
2025-09-04,2025-09-03,1012.0,1016.0
2025-09-05,2025-09-04,1006.5,1012.0
2025-09-08,2025-09-05,1013.5,1006.5
2025-09-09,2025-09-08,1011.5,1013.5
2025-09-10,2025-09-09,1005.5,1011.5
2025-09-11,2025-09-10,1015.25,1005.5
2025-09-12,2025-09-11,1025.75,1015.25
2025-09-15,2025-09-12,1042.75,1025.75
2025-09-16,2025-09-15,1049.75,1042.75
2025-09-17,2025-09-16,1043.75,1049.75
2025-09-18,2025-09-17,1037.5,1043.75
2025-09-19,2025-09-18,1025.5,1037.5
2025-09-22,2025-09-19,1011.0,1025.5
2025-09-23,2025-09-22,1012.0,1011.0
2025-09-24,2025-09-23,1009.0,1012.0
2025-09-25,2025-09-24,1012.25,1009.0
2025-09-26,2025-09-25,1013.75,1012.25
2025-09-29,2025-09-26,1010.5,1013.75
2025-09-30,2025-09-29,1001.75,1010.5
2025-10-01,2025-09-30,1013.0,1001.75
2025-10-02,2025-10-01,1023.75,1013.0
2025-10-03,2025-10-02,1018.0,1023.75
2025-10-06,2025-10-03,1017.75,1018.0
2025-10-07,2025-10-06,1022.0,1017.75
2025-10-08,2025-10-07,1029.5,1022.0
2025-10-09,2025-10-08,1022.25,1029.5
2025-10-10,2025-10-09,1006.75,1022.25
2025-10-13,2025-10-10,1007.75,1006.75
2025-10-14,2025-10-13,1006.5,1007.75
2025-10-15,2025-10-14,1006.5,1006.5
2025-10-16,2025-10-15,1010.75,1006.5
2025-10-17,2025-10-16,1019.5,1010.75
2025-10-20,2025-10-17,1031.75,1019.5
2025-10-21,2025-10-20,1030.75,1031.75
2025-10-22,2025-10-21,1034.75,1030.75
2025-10-23,2025-10-22,1044.75,1034.75
2025-10-24,2025-10-23,1041.75,1044.75
2025-10-27,2025-10-24,1067.25,1041.75
2025-10-28,2025-10-27,1078.25,1067.25
2025-10-29,2025-10-28,1080.25,1078.25
2025-10-30,2025-10-29,1091.25,1080.25
2025-10-31,2025-10-30,1099.75,1091.25
2025-11-03,2025-10-31,1119.75,1099.75
2025-11-04,2025-11-03,1108.25,1119.75
2025-11-05,2025-11-04,1119.75,1108.25
2025-11-06,2025-11-05,1091.75,1119.75
2025-11-07,2025-11-06,1101.75,1091.75
2025-11-10,2025-11-07,1116.0,1101.75
2025-11-11,2025-11-10,1113.25,1116.0
2025-11-12,2025-11-11,1120.5,1113.25
2025-11-13,2025-11-12,1132.0,1120.5
2025-11-14,2025-11-13,1112.75,1132.0
2025-11-17,2025-11-14,1157.25,1112.75
2025-11-18,2025-11-17,1153.5,1157.25
2025-11-19,2025-11-18,1136.25,1153.5
2025-11-20,2025-11-19,1122.5,1136.25
2025-11-21,2025-11-20,1125.0,1122.5
2025-11-24,2025-11-21,1123.25,1125.0
2025-11-25,2025-11-24,1124.75,1123.25
2025-11-26,2025-11-25,1131.5,1124.75
2025-11-28,2025-11-26,1137.75,1131.5
2025-12-01,2025-11-28,1128.0,1137.75
2025-12-02,2025-12-01,1124.75,1128.0
2025-12-03,2025-12-02,1115.75,1124.75
2025-12-04,2025-12-03,1119.5,1115.75
2025-12-05,2025-12-04,1105.25,1119.5
2025-12-08,2025-12-05,1093.75,1105.25
2025-12-09,2025-12-08,1087.25,1093.75
2025-12-10,2025-12-09,1091.25,1087.25
2025-12-11,2025-12-10,1093.5,1091.25
2025-12-12,2025-12-11,1076.75,1093.5
2025-12-15,2025-12-12,1071.75,1076.75
2025-12-16,2025-12-15,1062.75,1071.75
2025-12-17,2025-12-16,1058.25,1062.75
2025-12-18,2025-12-17,1052.25,1058.25
2025-12-19,2025-12-18,1049.25,1052.25
2025-12-22,2025-12-19,1053.25,1049.25
2025-12-23,2025-12-22,1051.5,1053.25
2025-12-24,2025-12-23,1063.25,1051.5
2025-12-26,2025-12-24,1058.75,1063.25
2025-12-29,2025-12-26,1049.5,1058.75
2025-12-30,2025-12-29,1046.25,1049.5
2025-12-31,2025-12-30,1030.5,1046.25
2026-01-02,2025-12-31,1029.5,1030.5
2026-01-05,2026-01-02,1047.25,1029.5
2026-01-06,2026-01-05,1042.0,1047.25
2026-01-07,2026-01-06,1052.75,1042.0
2026-01-08,2026-01-07,1047.0,1052.75
2026-01-09,2026-01-08,1048.5,1047.0
2026-01-12,2026-01-09,1033.0,1048.5
2026-01-13,2026-01-12,1023.25,1033.0
2026-01-14,2026-01-13,1030.5,1023.25
2026-01-15,2026-01-14,1053.0,1030.5
2026-01-16,2026-01-15,1057.75,1053.0
2026-01-20,2026-01-16,1053.0,1057.75
2026-01-21,2026-01-20,1064.5,1053.0
2026-01-22,2026-01-21,1064.0,1064.5
2026-01-23,2026-01-22,1067.75,1064.0
2026-01-26,2026-01-23,1061.75,1067.75
2026-01-27,2026-01-26,1067.25,1061.75
2026-01-28,2026-01-27,1075.0,1067.25
2026-01-29,2026-01-28,1072.25,1075.0
2026-01-30,2026-01-29,1064.25,1072.25
2026-02-02,2026-01-30,1060.25,1064.25
2026-02-03,2026-02-02,1065.75,1060.25
2026-02-04,2026-02-03,1092.25,1065.75
2026-02-05,2026-02-04,1112.25,1092.25
2026-02-06,2026-02-05,1115.25,1112.25
2026-02-09,2026-02-06,1110.75,1115.25
2026-02-10,2026-02-09,1122.5,1110.75
2026-02-11,2026-02-10,1124.0,1122.5
2026-02-12,2026-02-11,1137.25,1124.0
2026-02-13,2026-02-12,1133.0,1137.25
2026-02-17,2026-02-13,1134.0,1133.0
2026-02-18,2026-02-17,1133.5,1134.0
2026-02-19,2026-02-18,1141.0,1133.5
2026-02-20,2026-02-19,1137.5,1141.0
2026-02-23,2026-02-20,1134.25,1137.5
2026-02-24,2026-02-23,1139.5,1134.25
2026-02-25,2026-02-24,1148.25,1139.5
2026-02-26,2026-02-25,1147.75,1148.25
2026-02-27,2026-02-26,1157.25,1147.75
2026-03-02,2026-02-27,1150.0,1157.25
2026-03-03,2026-03-02,1155.75,1150.0
2026-03-04,2026-03-03,1154.5,1155.75
2026-03-05,2026-03-04,1163.75,1154.5
2026-03-06,2026-03-05,1185.0,1163.75
2026-03-09,2026-03-06,1180.5,1185.0
2026-03-10,2026-03-09,1187.25,1180.5
2026-03-11,2026-03-10,1200.5,1187.25
2026-03-12,2026-03-11,1213.0,1200.5
2026-03-13,2026-03-12,1211.0,1213.0
2026-03-16,2026-03-13,1155.25,1211.0
2026-03-17,2026-03-16,1157.0,1155.25
2026-03-18,2026-03-17,1161.75,1157.0
2026-03-19,2026-03-18,1168.5,1161.75
2026-03-20,2026-03-19,1161.25,1168.5
2026-03-23,2026-03-20,1163.5,1161.25
2026-03-24,2026-03-23,1155.0,1163.5
2026-03-25,2026-03-24,1171.75,1155.0
2026-03-26,2026-03-25,1173.75,1171.75
2026-03-27,2026-03-26,1159.25,1173.75
2026-03-30,2026-03-27,1159.75,1159.25
2026-03-31,2026-03-30,1171.0,1159.75
2026-04-01,2026-03-31,1168.5,1171.0
2026-04-02,2026-04-01,1163.5,1168.5
2026-04-06,2026-04-02,1166.75,1163.5
2026-04-07,2026-04-06,1158.25,1166.75
2026-04-08,2026-04-07,1162.0,1158.25
2026-04-09,2026-04-08,1165.25,1162.0
2026-04-10,2026-04-09,1175.75,1165.25
2026-04-13,2026-04-10,1162.25,1175.75
2026-04-14,2026-04-13,1158.0,1162.25
2026-04-15,2026-04-14,1167.0,1158.0
2026-04-16,2026-04-15,1163.75,1167.0
2026-04-17,2026-04-16,1167.25,1163.75
2026-04-20,2026-04-17,1165.75,1167.25
2026-04-21,2026-04-20,1174.5,1165.75
2026-04-22,2026-04-21,1164.5,1174.5
2026-04-23,2026-04-22,1159.75,1164.5
2026-04-24,2026-04-23,1163.75,1159.75
2026-04-27,2026-04-24,1177.25,1163.75
2026-04-28,2026-04-27,1173.0,1177.25
2026-04-29,2026-04-28,1182.25,1173.0
2026-04-30,2026-04-29,1182.0,1182.25
2026-05-01,2026-04-30,1187.75,1182.0
2026-05-04,2026-05-01,1207.5,1187.75
2026-05-05,2026-05-04,1195.75,1207.5
2026-05-06,2026-05-05,1179.0,1195.75
2026-05-07,2026-05-06,1177.0,1179.0
2026-05-08,2026-05-07,1194.25,1177.0
2026-05-11,2026-05-08,1199.75,1194.25
2026-05-12,2026-05-11,1213.5,1199.75
2026-05-13,2026-05-12,1215.25,1213.5
2026-05-14,2026-05-13,1174.5,1215.25
2026-05-15,2026-05-14,1177.0,1174.5
2026-05-18,2026-05-15,1213.0,1177.0
2026-05-19,2026-05-18,1209.5,1213.0
2026-05-20,2026-05-19,1199.75,1209.5
2026-05-21,2026-05-20,1194.25,1199.75
2026-05-22,2026-05-21,1196.5,1194.25
2026-05-26,2026-05-22,1186.0,1196.5
2026-05-27,2026-05-26,1185.25,1186.0
2026-05-28,2026-05-27,1194.5,1185.25
2026-05-29,2026-05-28,1186.75,1194.5
2026-06-01,2026-05-29,1180.75,1186.75
2026-06-02,2026-06-01,1165.25,1180.75
2026-06-03,2026-06-02,1154.0,1165.25
2026-06-04,2026-06-03,1129.5,1154.0
2026-06-05,2026-06-04,1121.5,1129.5
2026-06-08,2026-06-05,1115.75,1121.5
2026-06-09,2026-06-08,1113.75,1115.75
2026-06-10,2026-06-09,1123.0,1113.75
2026-06-11,2026-06-10,1115.0,1123.0
2026-06-12,2026-06-11,1113.5,1115.0
2026-06-15,2026-06-12,1119.25,1113.5
2026-06-16,2026-06-15,1130.0,1119.25
2026-06-17,2026-06-16,1132.0,1130.0
2026-06-18,2026-06-17,1122.75,1132.0
2026-06-22,2026-06-18,1115.75,1122.75
2026-06-23,2026-06-22,1117.0,1115.75
2026-06-24,2026-06-23,1108.75,1117.0
2026-06-25,2026-06-24,1127.5,1108.75
2026-06-26,2026-06-25,1126.25,1127.5
2026-06-29,2026-06-26,1108.75,1126.25
2026-06-30,2026-06-29,1116.75,1108.75
2026-07-01,2026-06-30,1126.25,1116.75
2026-07-02,2026-07-01,1131.75,1126.25
2026-07-06,2026-07-02,1182.25,1131.75
2026-07-07,2026-07-06,1196.75,1182.25
2026-07-08,2026-07-07,1195.0,1196.75
2026-07-09,2026-07-08,1179.75,1195.0
2026-07-10,2026-07-09,1196.5,1179.75
2026-07-13,2026-07-10,1202.0,1196.5
2026-07-14,2026-07-13,1207.25,1202.0
2026-07-15,2026-07-14,1202.25,1207.25
2026-07-16,2026-07-15,1195.0,1202.25
2026-07-17,2026-07-16,1204.5,1195.0
2026-07-20,2026-07-17,1226.0,1204.5
2026-07-21,2026-07-20,1219.5,1226.0
2026-07-22,2026-07-21,1233.0,1219.5
2026-07-23,2026-07-22,1237.5,1233.0
2026-07-24,2026-07-23,1248.0,1237.5
2026-07-27,2026-07-24,1208.5,1248.0
2026-07-28,2026-07-27,1212.0,1208.5
2026-07-29,2026-07-28,1178.0,1212.0
2026-07-30,2026-07-29,1177.25,1178.0
2026-07-31,2026-07-30,1172.0,1177.25
2026-08-03,2026-07-31,1168.75,1172.0
2026-08-04,2026-08-03,1155.0,1168.75
2026-08-05,2026-08-04,1151.5,1155.0
2026-08-06,2026-08-05,1157.25,1151.5
2026-08-07,2026-08-06,1156.5,1157.25
2026-08-10,2026-08-07,1180.5,1156.5
